Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763956856,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763956857,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763956858,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763956859,40,,Aggregated,0.000000,0.000000,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,6,0,2700.0,1793.9044833765365,1.8477000994607806,2716.6657000780106,632.3333333333334
1763956860,50,,Aggregated,0.000000,0.000000,2700,2700,3300,3300,3900,3900,3900,3900,3900,3900,3900,15,0,2700.0,2153.510246681981,1.8477000994607806,3910.158000071533,632.2
1763956861,50,,Aggregated,0.000000,0.000000,2700,2900,3300,3300,3900,3900,4500,4500,4500,4500,4500,26,0,2700.0,2217.697184631386,1.8477000994607806,4519.229100085795,587.9230769230769
1763956862,50,,Aggregated,3.750000,0.000000,2700,2700,3300,3300,3900,4500,5100,5100,5100,5100,5100,38,0,2600.0,2225.63838421698,1.573599991388619,5149.5708000147715,543.6578947368421
1763956863,50,,Aggregated,3.750000,0.000000,2700,2900,3300,3900,4500,5100,5800,5800,5800,5800,5800,49,0,2700.0,2475.491151025956,1.573599991388619,5843.495800043456,536.4081632653061
1763956864,50,,Aggregated,5.200000,0.000000,2700,3300,3500,3900,4800,5400,5800,6500,6500,6500,6500,60,0,2600.0,2639.856628336323,1.573599991388619,6487.8343999153,590.1166666666667
1763956865,50,,Aggregated,7.000000,0.000000,2700,3300,3900,4500,5400,6100,6700,7100,7100,7100,7100,77,0,2700.0,2844.1971363666066,1.573599991388619,7138.810200034641,556.7272727272727
1763956866,50,,Aggregated,7.500000,0.000000,2700,3400,4100,4500,5800,6700,7400,8000,8000,8000,8000,97,0,2700.0,2928.3116134003612,1.573599991388619,7981.934699928388,552.7525773195877
1763956867,50,,Aggregated,8.444444,0.000000,2600,3300,4100,4500,5800,6700,7400,8000,8000,8000,8000,121,0,2600.0,2918.1431256213477,1.573599991388619,7981.934699928388,486.40495867768595
1763956868,50,,Aggregated,8.500000,0.000000,2600,3300,4100,4700,6000,7100,8000,8000,8000,8000,8000,125,0,2600.0,2980.935377601534,1.573599991388619,7981.934699928388,485.864
1763956869,50,,Aggregated,10.900000,0.000000,2200,3200,3900,4500,6000,7100,8000,8000,8700,8700,8700,155,0,2200.0,2895.8967180637223,1.573599991388619,8734.918299946003,450.1161290322581
1763956870,50,,Aggregated,12.200000,0.000000,2200,2700,3900,4500,5800,6700,8000,8000,8700,8700,8700,168,0,2200.0,2825.485110120055,1.573599991388619,8734.918299946003,448.32142857142856
1763956871,50,,Aggregated,14.600000,0.000000,2200,2700,3400,4100,5400,6700,8000,8000,8700,8700,8700,183,0,2200.0,2750.9484393452167,1.573599991388619,8734.918299946003,445.1912568306011
1763956872,50,,Aggregated,14.600000,0.000000,2200,2600,3400,3900,5400,6700,8000,8000,8700,8700,8700,192,0,2200.0,2699.8528973963403,1.573599991388619,8734.918299946003,449.3385416666667
1763956873,50,,Aggregated,14.800000,0.000000,2200,2400,3200,3900,5300,6700,7400,8000,8700,8700,8700,209,0,2200.0,2644.8025000003126,1.573599991388619,8734.918299946003,421.8899521531101
1763956874,50,,Aggregated,14.800000,0.000000,2100,2300,3200,3800,5200,6700,7400,8000,8700,8700,8700,220,0,2100.0,2590.5373490918214,1.573599991388619,8734.918299946003,405.42727272727274
1763956875,50,,Aggregated,15.500000,0.000000,2100,2300,2700,3400,5200,6500,7400,8000,8700,8700,8700,230,0,2100.0,2555.530600000234,1.573599991388619,8734.918299946003,392.6521739130435
1763956876,50,,Aggregated,16.000000,0.000000,2100,2200,2700,3300,5100,6100,7400,8000,8700,8700,8700,247,0,2100.0,2500.824972874059,1.573599991388619,8734.918299946003,372.9757085020243
1763956877,50,,Aggregated,15.400000,0.000000,2100,2200,2700,3300,4800,6100,7300,8000,8700,8700,8700,260,0,2100.0,2465.8464953845114,1.573599991388619,8734.918299946003,359.8538461538462
1763956878,50,,Aggregated,16.100000,0.000000,2100,2200,2600,2900,4700,6100,7300,8000,8700,8700,8700,278,0,2100.0,2414.2502399271175,1.573599991388619,8734.918299946003,341.6438848920863
1763956879,50,,Aggregated,16.100000,0.000000,2100,2200,2500,2700,4600,6000,7300,8000,8700,8700,8700,287,0,2100.0,2390.511718465872,1.573599991388619,8734.918299946003,333.79442508710804
1763956880,50,,Aggregated,15.100000,0.000000,2100,2200,2300,2700,4600,6000,7300,8000,8700,8700,8700,298,0,2100.0,2353.63246073701,1.573599991388619,8734.918299946003,326.16107382550337
1763956881,50,,Aggregated,13.500000,0.000000,2100,2200,2300,2700,4500,6000,7300,8000,8700,8700,8700,315,0,2100.0,2321.5612746024917,1.573599991388619,8734.918299946003,313.9301587301587
1763956882,50,,Aggregated,12.700000,0.000000,2100,2200,2300,2700,4500,5800,7300,8000,8700,8700,8700,329,0,2100.0,2313.436901518837,1.573599991388619,8734.918299946003,316.3434650455927
1763956883,50,,Aggregated,13.600000,0.000000,2100,2200,2200,2600,4500,5800,7300,8000,8700,8700,8700,339,0,2100.0,2308.458030677145,1.573599991388619,8734.918299946003,336.2212389380531
1763956884,50,,Aggregated,13.400000,0.000000,2100,2200,2200,2600,4200,5400,7300,8000,8700,8700,8700,350,0,2100.0,2278.5990082848416,1.573599991388619,8734.918299946003,328.4485714285714
1763956885,50,,Aggregated,13.100000,0.000000,2100,2200,2200,2400,4100,5400,7100,8000,8700,8700,8700,369,0,2100.0,2270.103548508299,1.573599991388619,8734.918299946003,327.10027100271003
1763956886,50,,Aggregated,12.600000,0.000000,2100,2200,2200,2300,3900,5400,7100,8000,8700,8700,8700,382,0,2100.0,2244.498201831505,1.573599991388619,8734.918299946003,320.0811518324607
1763956887,50,,Aggregated,12.900000,0.000000,2100,2200,2200,2300,3900,5400,7100,8000,8700,8700,8700,394,0,2100.0,2225.347118527536,1.573599991388619,8734.918299946003,313.3071065989848
1763956888,50,,Aggregated,13.300000,0.000000,2100,2200,2200,2300,3900,5300,6700,7400,8700,8700,8700,407,0,2100.0,2201.7438449626284,1.573599991388619,8734.918299946003,317.0810810810811
1763956889,50,,Aggregated,13.400000,0.000000,2100,2200,2200,2300,3800,5200,6700,7400,8700,8700,8700,422,0,2100.0,2181.228249762494,1.573599991388619,8734.918299946003,310.0379146919431
1763956890,50,,Aggregated,12.800000,0.000000,2100,2200,2200,2200,3800,5200,6700,7400,8700,8700,8700,438,0,2100.0,2160.5276840174947,1.573599991388619,8734.918299946003,302.2739726027397
1763956891,50,,Aggregated,12.800000,0.000000,2100,2200,2200,2200,3500,5200,6700,7400,8700,8700,8700,448,0,2100.0,2141.1511256685894,1.573599991388619,8734.918299946003,297.51785714285717
1763956892,50,,Aggregated,13.700000,0.000000,2100,2100,2200,2200,3400,5100,6700,7400,8700,8700,8700,465,0,2100.0,2118.6282602143824,1.573599991388619,8734.918299946003,290.0236559139785
1763956893,50,,Aggregated,13.400000,0.000000,2100,2100,2200,2200,3400,5100,6700,7400,8700,8700,8700,478,0,2100.0,2097.1886774052077,1.573599991388619,8734.918299946003,284.5857740585774
1763956894,50,,Aggregated,12.700000,0.000000,2100,2100,2200,2200,3300,5100,6700,7400,8700,8700,8700,494,0,2100.0,2073.381487044236,1.573599991388619,8734.918299946003,278.914979757085
1763956895,50,,Aggregated,13.600000,0.000000,2100,2100,2200,2200,3300,4800,6700,7300,8700,8700,8700,505,0,2100.0,2066.8737607915878,1.573599991388619,8734.918299946003,275.58415841584156
1763956896,50,,Aggregated,14.200000,0.000000,2100,2100,2200,2200,3300,4800,6700,7300,8700,8700,8700,513,0,2100.0,2059.912841129625,1.573599991388619,8734.918299946003,273.1169590643275
1763956897,50,,Aggregated,14.100000,0.000000,2100,2100,2200,2200,3200,4800,6700,7300,8700,8700,8700,535,0,2100.0,2035.8311992517247,1.573599991388619,8734.918299946003,265.72336448598134
